Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,""
4,15,3,43200,50400,2700,,,,,,""
0,2,0,1,28800,32400,0.005,,,,,""
1,3,0,1,2,28800,32400,0.008,,,,""
2,3,0,1,2,28800,32400,0.008,,,,""
3,2,0,2,28800,28800,0.005,,,,,""
0,2,0,1,25.249003573868,55.353775390812,,,,,,""
1,1,2,25.126179417158,55.208487510681,,,,,,,""
2,1,3,25.167599818896,55.404097740851,,,,,,,""
3,3,0,1,2,2,25.042313194349,55.118646230027,3600,25200,30600,"150"
4,1,2,3,25.269109675473,55.355012564446,3600,50400,51480,200,,""
5,1,0,3,25.279153303662,55.314276163067,10800,21600,36000,400,,""
6,2,0,2,1,25.175260804485,55.412952559012,7200,39600,50940,400,""
7,3,0,1,2,2,25.217153584996,55.414671730644,900,57600,68400,"100"
8,1,1,3,25.075625465368,55.137483704383,3600,32400,45000,150,,""
9,1,0,3,25.233729,55.262959,3600,32400,61200,100,,""
10,2,0,2,1,25.232221109945,55.326362211547,10800,50400,50940,200,""
11,1,1,2,25.245623,55.45307,3600,25200,64800,400,,""
12,1,2,3,25.229078,55.318455,10800,25200,51480,150,,""
13,1,1,2,25.277019,55.330226,14400,21600,68400,200,,""
14,2,1,2,3,25.241823429498,55.373788434955,3600,32400,57600,150,""
15,1,0,1,25.197279,55.237317,3600,18000,68400,400,,""
16,1,2,3,25.120886,55.227561,3600,57600,68400,150,,""
17,3,0,1,2,1,25.274719885739,55.331374258769,1800,21600,61200,"400"
